,ds,yhat
128,2017-07-28,18.938079881886498
129,2017-07-29,19.1501058400747
130,2017-07-30,19.337152218992387
131,2017-07-31,19.500027170734352
132,2017-08-01,19.640252553160508
133,2017-08-02,19.75996493941996
134,2017-08-03,19.8617955687926
135,2017-08-04,19.948733821192697
136,2017-08-05,20.02397935603216
137,2017-08-06,20.090788440652528
138,2017-08-07,20.15232019202851
139,2017-08-08,20.211488461138767
140,2017-08-09,20.270824901059385
141,2017-08-10,20.332358391117875
142,2017-08-11,20.397515424738863
143,2017-08-12,20.467045380296817
144,2017-08-13,20.540973736354484
145,2017-08-14,20.618585347077595
146,2017-08-15,20.698438863213404
147,2017-08-16,20.778412310193865
148,2017-08-17,20.85577875096956
149,2017-08-18,20.92730990260593
150,2017-08-19,20.98940457683364
151,2017-08-20,21.038237908567925
152,2017-08-21,21.069926552868626
153,2017-08-22,21.08070439640251
154,2017-08-23,21.067102865587497
155,2017-08-24,21.026129638730954
156,2017-08-25,20.955439487992734
157,2017-08-26,20.85349110603256
158,2017-08-27,20.719684094342416
159,2017-08-28,20.554470809781314
160,2017-08-29,20.359438462476906
161,2017-08-30,20.137357713621963
162,2017-08-31,19.89219501071308
163,2017-09-01,19.629086990834274
