,full_date,pm
164,2017-09-05,22.667886723870904
165,2017-09-06,19.179047616731776
166,2017-09-07,19.44000880197976
167,2017-09-08,22.0449010464682
168,2017-09-09,31.22534838537887
169,2017-09-10,31.190884665680837
170,2017-09-11,18.86491618455647
171,2017-09-12,15.992965604935376
172,2017-09-13,15.136701032415989
173,2017-09-14,21.80875899094805
174,2017-09-15,28.211404609908637
175,2017-09-16,36.9957613998253
176,2017-09-17,33.89955534777627
177,2017-09-18,27.12446628022514
178,2017-09-19,20.535350191268943
179,2017-09-20,21.169951285947757
180,2017-09-21,24.314536811336467
181,2017-09-22,24.89370147091263
182,2017-09-23,24.680363483101733
183,2017-09-24,22.40769787660575
184,2017-09-25,32.98359166901019
185,2017-09-26,33.106090887980685
186,2017-09-27,30.5873174712565
