date_time,value
2017-09-24,22.40769787660575
2017-09-25,32.98359166901019
2017-09-26,33.106090887980685
2017-09-27,30.5873174712565
2017-09-28,20.53429922954859
2017-09-29,27.794844225840794
2017-09-30,33.89020235049266
2017-10-01,50.87799596537953
2017-10-02,49.68894758522684
2017-10-03,33.894730198325355
2017-10-04,23.65792767515754
2017-10-05,29.25058957506545
2017-10-06,42.08809787120814
2017-10-07,51.42062445287703
2017-10-08,66.69076462160541
2017-10-09,56.15066571460316
2017-10-10,62.90104119128632
2017-10-11,71.98078205163468
2017-10-12,54.66533047102604
2017-10-13,45.37333033795606
2017-10-14,48.1195118198293
2017-10-15,46.40895350953262
2017-10-16,68.84203322954691
2017-10-17,43.77424827044643
2017-10-18,31.117923151679967
2017-10-19,31.97276762273808
2017-10-20,40.95229244047464
