Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_614_days
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227) | LocalMinMaxScaler(stats_=[[  5.1691023  286.54204218]])",48.07357171600858,36.21806533350328,33.98209793203782,32.6957964511218,33.87845042403657,36.41594716560646,35.67809612633129,34.6284022842716,35.99444673552681,37.886777341998794,38.826277422990046,38.64848310685661
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 3.36952770e-321]], upper=2.0)",48.20473385481615,36.575128621146845,32.807398992871406,29.52517159636158,27.73479007223687,29.845656825346534,30.62440077486927,30.43156019238083,32.07175542094081,33.331059883446464,33.24406207566521,33.000884784206214
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10) | LocalStandardScaler(stats_=[[49.00252779 51.10112067]])",71.19799271703505,55.59065948578071,101.86244720451269,200.15279604994888,338.77940990464526,418.48925508214006,668.857547514794,723.4003405890593,664.5465099447703,654.1564962628248,1202.950173476475,1332.6361324661343
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10) | LocalMinMaxScaler(stats_=[[  5.1691023  286.54204218]])",48.07357171600858,36.21806533350328,33.98209793203782,32.6957964511218,33.87845042403657,36.41594716560646,35.67809612633129,34.6284022842716,35.99444673552681,37.886777341998794,38.826277422990046,38.64848310685661
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",48.20473385481615,36.575128621146845,32.807398992871406,29.52517159636158,27.73479007223687,29.845656825346534,30.62440077486927,30.43156019238083,32.07175542094081,33.331059883446464,33.24406207566521,33.000884784206214
prophet_holy,,45.6363103777754,35.84139621052821,33.094728635524525,30.389495748772987,29.170437888353717,32.4706301089421,33.358617708056535,33.02269721843371,33.84338657211059,35.06572801150358,35.57687435017548,35.82419955533373
prophet_holy,AutoDifferences(max_diffs=341),36.10707526286234,43.460170811878996,108.4239641961742,194.13638606425673,295.3438510552953,344.276804676691,460.33275458267184,445.07054916385994,400.01525704858363,595.288105224286,1191.7780353712833,1224.8307805033562
prophet_holy,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227)",45.6363103777754,35.84139621052821,33.094728635524525,30.389495748772987,29.170437888353717,32.4706301089421,33.358617708056535,33.02269721843371,33.84338657211059,35.06572801150358,35.57687435017548,35.82419955533373
prophet_holy,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10)",45.6363103777754,35.84139621052821,33.094728635524525,30.389495748772987,29.170437888353717,32.4706301089421,33.358617708056535,33.02269721843371,33.84338657211059,35.06572801150358,35.57687435017548,35.82419955533373
prophet_holy,LocalStandardScaler(stats_=[[49.00252779 51.10112067]]),62.09991574610656,47.288484129857835,91.30595071035468,174.27221456839666,291.09898675244494,355.36316916723206,594.3493967344231,695.2333335697998,648.7048681710015,623.4608188367642,1115.631651658827,1145.7164040871683
prophet_holy,LocalMinMaxScaler(stats_=[[  5.1691023  286.54204218]]),45.61163003931142,34.629231477024014,31.803089871214517,28.056015636041646,26.716408521549134,29.78442173726249,30.643838704988013,30.329430834228692,31.83928619465457,33.115791563829774,32.41973550598115,32.162454869150665
prophet_holy,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 3.36952770e-321]], upper=2.0)",43.07074166825495,34.07557651493281,31.13217768747083,28.231500959973904,26.4614705951073,28.808670692777476,30.18111656473178,29.93591766382927,31.247407888377328,32.44635367975499,32.14779795912367,31.91515470066702
prophet_holy,AutoDifferences(max_diffs=341) | LocalStandardScaler(stats_=[[2.03754691e-02 3.20312752e+01]]),36.041497440903655,43.731351107817325,109.41690654929258,196.08175989336502,298.480415103944,348.1257409952709,465.8560782457957,450.6793154117789,405.2681442682938,603.278148200291,1207.2707632122635,1240.729248886255
prophet_holy,AutoDifferences(max_diffs=341) | LocalMinMaxScaler(stats_=[[-213.24969597  358.98585895]]),126.72672591374332,216.95858864396556,355.6474478587795,507.1767973788585,664.3139952460743,728.6448628741275,861.1880790778195,806.1524635997181,714.3434535983918,926.1714569881784,1570.6723811937622,1600.9572324907222
prophet_holy,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227) | LocalStandardScaler(stats_=[[49.00252779 51.10112067]])",62.09991574610656,47.288484129857835,91.30595071035468,174.27221456839666,291.09898675244494,355.36316916723206,594.3493967344231,695.2333335697998,648.7048681710015,623.4608188367642,1115.631651658827,1145.7164040871683
