Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1271_days
prophet,"AutoSeasonalityAndDifferences(max_diffs=12, max_season_length=8, n_seasons=10) | LocalMinMaxScaler(stats_=[[15.22013889 58.46836285]])",3505.3156004063653,7990.468178978889,10952.944575342563,12872.815557364638,13830.663210301766,13836.017645403732,13064.028735382402,12254.914054402438,13199.033910841303,32449.3300580212,34067.296501465855,33968.444203955805,94120.78848112635
prophet,"AutoSeasonalityAndDifferences(max_diffs=12, max_season_length=8, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[0.57136342 0.        ]], upper=2.0)",618243.2927838978,923766.4214559394,1224842.545319613,1297959.8653363616,1504553.0611242421,1609013.996458184,1580386.1398162667,1684798.6865427953,2556910.3692456232,18231933.785542555,17334310.138840377,18141517.712765925,101483692.2737993
prophet_add_season30_5,,3022.9867161716056,5293.898670188725,5651.607269048182,6058.176736849276,6075.51552312633,6596.210413286758,5917.709302503287,5156.010303663191,4768.012641791173,10792.274680009505,11663.95206071686,10939.298113763,29762.452044227644
prophet_add_season30_5,AutoDifferences(max_diffs=12),3022.9867161716056,5293.898670188725,5651.607269048182,6058.176736849276,6075.51552312633,6596.210413286758,5917.709302503287,5156.010303663191,4768.012641791173,10792.274680009505,11663.95206071686,10939.298113763,29762.452044227644
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=12, n_seasons=10, season_length=8)",3022.9867161716056,5293.898670188725,5651.607269048182,6058.176736849276,6075.51552312633,6596.210413286758,5917.709302503287,5156.010303663191,4768.012641791173,10792.274680009505,11663.95206071686,10939.298113763,29762.452044227644
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=12, max_season_length=8, n_seasons=10)",3022.9867161716056,5293.898670188725,5651.607269048182,6058.176736849276,6075.51552312633,6596.210413286758,5917.709302503287,5156.010303663191,4768.012641791173,10792.274680009505,11663.95206071686,10939.298113763,29762.452044227644
prophet_add_season30_5,LocalStandardScaler(stats_=[[33.97812388 12.48501374]]),831.5137870154406,1965.7032003866752,2802.454749866897,3768.8889284619977,4465.07846970647,5266.609598636957,5033.047836238299,4409.6058370092,4816.051530914946,9583.932721724166,11165.918657143282,10757.754079221211,31036.43354663919
prophet_add_season30_5,LocalMinMaxScaler(stats_=[[15.22013889 58.46836285]]),12993.928964929188,25706.19541526719,29563.64605927628,41723.63230808974,52913.70757757941,57717.54955982388,56072.22775118729,50125.43776937607,60903.17722888645,121962.76704880754,140319.4934187311,140155.61361091974,393380.149171187
prophet_add_season30_5,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[5.71363425e-001 1.23516411e-322]], upper=2.0)",1136691.8603481322,1427796.359319882,2198040.727947797,3724253.681626427,4308105.5047709085,5802759.798553408,5993384.8428422,5446213.2454667585,7322945.823664591,20480597.4496544,25559956.340446956,27804615.380798526,136977033.09474975
prophet_add_season30_5,AutoDifferences(max_diffs=12) | LocalStandardScaler(stats_=[[33.97812388 12.48501374]]),831.5137870154406,1965.7032003866752,2802.454749866897,3768.8889284619977,4465.07846970647,5266.609598636957,5033.047836238299,4409.6058370092,4816.051530914946,9583.932721724166,11165.918657143282,10757.754079221211,31036.43354663919
